A Number,B Number,Date Time,Duration (sec),Call Type,Tower ID,IMEI,IMSI,Operator Name,Lat,Lng
+91850008066,+91800005262,2025-08-24 12:30:33,1,OUT,VI-PTA-001,354809100000294,404000000333598,BSNL,30.3750,76.7820
+91800006894,+91990007475,2025-08-24 17:54:57,9,SMS,JIO-CHD-002,354809100000175,404000000198975,JIO,30.7420,76.7880
+91980003026,+91850009946,2025-08-24 18:38:34,70,OUT,JIO-CHD-002,354809100000364,404000000412788,Airtel,30.7420,76.7880
+91700003099,+91850001457,2025-08-24 23:52:21,56,IN,JIO-CHD-001,354809100000021,404000000024757,JIO,30.7333,76.7794
+91990010724,+91980004311,2025-08-24 07:09:40,75,IN,JIO-PHR-001,354809100000553,404000000626601,Airtel,31.0150,75.3480
+91990010688,+91800010977,2025-08-24 04:30:24,9,OUT,JIO-CHD-MEET,354809100000546,404000000618682,JIO,30.7380,76.7830
+91980001661,+91980007956,2025-08-24 11:03:16,603,IN,JIO-PHR-001,354809100000343,404000000389031,JIO,31.0150,75.3480
+91700006750,+91850000697,2025-08-24 16:45:49,58,IN,JIO-CHD-006,354809100000056,404000000064352,BSNL,30.6940,76.7270
+91990009579,+91800003431,2025-08-24 08:04:29,96,SMS,JIO-CHD-006,354809100000539,404000000610763,Airtel,30.6940,76.7270
+91850006289,+91990005690,2025-08-24 09:03:17,68,IN,Airtel-LDH-002,354809100000280,404000000317760,BSNL,30.9250,75.8640
+91850004460,+91850008066,2025-08-24 05:54:07,115,SMS,JIO-CHD-003,354809100000259,404000000294003,JIO,30.7510,76.8010
+91990008835,+91980004311,2025-08-24 19:51:09,1332,OUT,Airtel-AMB-001,354809100000532,404000000602844,JIO,30.5200,76.6600
+91990010724,+91800002599,2025-08-24 23:16:23,71,IN,Airtel-AMB-001,354809100000553,404000000626601,Airtel,30.5200,76.6600
+91700010526,+91990007475,2025-08-24 20:42:53,115,IN,Airtel-LDH-001,354809100000098,404000000111866,JIO,30.9120,75.8530
+91800003431,+91700009927,2025-08-24 08:32:23,34,IN,BSNL-HSP-001,354809100000133,404000000151461,JIO,31.1050,75.7040
+91980005802,+91850011508,2025-08-24 16:25:15,82,IN,JIO-CHD-002,354809100000392,404000000444464,JIO,30.7420,76.7880
+91990006728,+91800007370,2025-08-24 10:11:00,117,IN,BSNL-JAL-001,354809100000511,404000000579087,JIO,30.9530,75.5730
+91850008729,+91700007836,2025-08-25 01:13:34,2069,IN,VI-PTA-001,354809100000301,404000000341517,Airtel,30.3750,76.7820
+91980003026,+91850011508,2025-08-24 20:26:25,275,OUT,BSNL-JAL-001,354809100000364,404000000412788,Airtel,30.9530,75.5730
+91800009044,+91850006926,2025-08-24 02:18:10,404,IN,Airtel-LDH-001,354809100000196,404000000222732,JIO,30.9120,75.8530
